timestamp, jetson_voltage_V, jetson_current_mA, jetson_power_mW, obc_voltage_V, obc_current_mA, obc_power_mW, perif_voltage_V, perif_current_mA, perif_power_mW, jetson_temp_C, obc_temp_C, perif_temp_C, imx8_cpu_temp_C
2026-04-13 02:22:34.505028, 4.934, 393.45, 1592.4, 5.086, 283.09, 1716.9, 4.813, 211.45, 1618.4, 39.47, 55.5, 38.13, 54.79
2026-04-13 02:22:34.610021, 5.009, 341.11, 1233.7, 5.127, 218.09, 1091.9, 5.136, 385.98, 1627.7, 45.55, 51.51, 44.15, 61.95
2026-04-13 02:22:34.715578, 4.812, 316.7, 1022.3, 5.033, 363.78, 1288.0, 5.164, 270.06, 1121.1, 44.05, 49.06, 23.36, 55.86
2026-04-13 02:22:34.821328, 4.863, 223.46, 1897.9, 5.153, 254.97, 1635.1, 5.161, 381.07, 1398.5, 55.5, 41.11, 28.84, 42.98
2026-04-13 02:22:34.927911, 4.836, 202.56, 1694.2, 5.044, 350.9, 1590.7, 5.081, 241.32, 1005.4, 57.38, 21.75, 49.42, 44.46
2026-04-13 02:22:35.035108, 5.162, 369.17, 1047.0, 5.14, 316.42, 1594.9, 5.081, 277.73, 1935.8, 56.21, 31.92, 22.27, 47.81
2026-04-13 02:22:35.136980, 5.178, 233.1, 1396.5, 5.126, 297.22, 1522.6, 4.968, 266.96, 1416.9, 30.14, 26.31, 41.15, 59.36
2026-04-13 02:22:35.248249, 4.906, 325.84, 1384.3, 4.9, 276.43, 1836.0, 5.083, 365.34, 1944.8, 50.94, 52.29, 59.82, 66.93
2026-04-13 02:22:35.352248, 4.878, 280.87, 1604.8, 5.005, 207.1, 1594.7, 4.841, 349.08, 1610.7, 50.96, 37.04, 51.59, 54.1
2026-04-13 02:22:35.455218, 5.18, 259.95, 1286.3, 5.012, 303.89, 1303.2, 4.955, 321.94, 1466.9, 25.72, 24.92, 30.27, 60.98
2026-04-13 02:22:35.561149, 5.067, 376.48, 1827.9, 5.169, 329.08, 1844.3, 5.087, 256.15, 1736.4, 22.77, 34.18, 22.92, 53.31
2026-04-13 02:22:35.667992, 5.133, 339.74, 1641.2, 5.197, 271.71, 1093.8, 5.029, 246.17, 1156.5, 39.95, 58.69, 51.91, 72.94
2026-04-13 02:22:35.779572, 5.022, 217.9, 1536.6, 4.803, 343.73, 1400.0, 5.041, 389.99, 1415.6, 45.91, 34.75, 25.88, 49.59
2026-04-13 02:22:35.886512, 4.994, 280.6, 1986.4, 5.021, 223.94, 1206.1, 5.042, 243.2, 1121.2, 58.73, 48.95, 50.46, 57.79
2026-04-13 02:22:35.989180, 4.947, 250.46, 1943.4, 4.903, 324.14, 1099.4, 5.119, 297.89, 1956.2, 56.3, 29.46, 55.94, 46.97
2026-04-13 02:22:36.094757, 5.088, 259.4, 1808.3, 5.059, 380.01, 1046.9, 4.83, 361.83, 1092.5, 45.39, 25.58, 38.01, 67.08
2026-04-13 02:22:36.197984, 4.931, 312.75, 1115.5, 4.918, 201.86, 1454.6, 5.029, 372.4, 1192.9, 33.67, 34.65, 56.97, 77.43
2026-04-13 02:22:36.305906, 5.008, 361.0, 1179.7, 5.138, 275.0, 1357.6, 5.104, 245.42, 1962.7, 21.91, 57.4, 56.86, 41.5
2026-04-13 02:22:36.413021, 5.091, 226.66, 1753.6, 4.995, 226.68, 1536.4, 5.068, 280.06, 1824.6, 49.34, 22.28, 36.36, 64.85
2026-04-13 02:22:36.519852, 4.894, 207.09, 1082.3, 4.905, 311.0, 1101.3, 5.146, 288.91, 1295.7, 32.65, 54.6, 43.58, 71.76
